City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Struthers,US,41.0526,-80.6078,5.49,59,100,6.17,overcast clouds
275,San Ignacio,BZ,17.1561,-89.0714,35.08,46,0,2.06,clear sky
276,Almaznyy,RU,48.0448,40.045,14.29,47,100,5.41,overcast clouds
277,Buraydah,SA,26.326,43.975,27.25,13,0,4.62,clear sky
278,Rapid Valley,US,44.0625,-103.1463,9.12,67,100,5.66,overcast clouds
279,Shanhetun,CN,44.7,127.2,-0.89,54,80,3.26,broken clouds
280,Apatity,RU,67.5641,33.4031,-12.34,93,80,0.8,broken clouds
281,Kondagaon,IN,19.6,81.6667,24.27,36,4,2.58,clear sky
282,Pundaguitan,PH,6.3711,126.1689,27.05,77,32,2.58,scattered clouds
283,Miri,MY,4.4148,114.0089,24.08,88,40,0.0,scattered clouds
284,Suntar,RU,62.1444,117.6319,-10.09,98,100,1.19,overcast clouds
285,Puerto El Triunfo,SV,13.2833,-88.55,36.48,60,20,5.17,few clouds
286,Marsh Harbour,BS,26.5412,-77.0636,26.21,75,69,6.9,broken clouds
287,Zhuhai,CN,22.2769,113.5678,15.88,82,40,10.8,scattered clouds
288,Olinda,BR,-8.0089,-34.8553,28.85,70,40,5.14,scattered clouds
289,Awjilah,LY,29.1081,21.2869,22.62,22,100,6.72,overcast clouds
290,Aksarka,RU,66.5606,67.7975,-13.29,90,63,4.82,broken clouds
291,La Rioja,ES,42.25,-2.5,-1.12,90,100,6.0,overcast clouds
292,Praia,CV,14.9215,-23.5087,23.3,73,0,7.72,clear sky
293,Esperance,AU,-33.8667,121.9,16.91,71,18,6.9,few clouds
294,Geraldton,AU,-28.7667,114.6,24.23,73,100,4.63,overcast clouds
295,Lorengau,PG,-2.0226,147.2712,26.83,82,100,5.1,heavy intensity rain
296,Moroni,KM,-11.7022,43.2551,26.28,80,8,1.07,clear sky
297,Ribeira Brava,PT,32.65,-17.0667,18.89,85,100,0.61,overcast clouds
298,Esil,KZ,51.9556,66.4042,-2.01,84,27,4.2,scattered clouds
299,High Prairie,CA,55.4334,-116.4858,1.32,81,93,3.19,overcast clouds
300,Emba,KZ,48.8264,58.1442,-1.56,83,90,2.31,overcast clouds
301,San Lorenzo,PY,-25.3333,-57.5333,23.66,38,0,5.36,clear sky
302,Kimbe,PG,-5.5502,150.1429,23.65,91,100,1.07,overcast clouds
303,Pasni,PK,25.2631,63.471,26.44,51,0,4.25,clear sky
304,Khatanga,RU,71.9667,102.5,-18.35,99,98,1.7,overcast clouds
305,Tivaouane,SN,14.9515,-16.8129,23.19,68,2,7.04,clear sky
306,Barentu,ER,15.1139,37.5928,27.28,29,18,2.84,few clouds
307,Havre,FR,49.5833,0.3333,3.87,60,75,9.26,light rain
308,Suez,EG,29.9737,32.5263,23.2,16,100,0.67,overcast clouds
309,Flagstaff,US,35.1981,-111.6513,18.39,30,0,3.6,clear sky
310,Estevan,CA,49.1334,-102.9842,9.19,40,75,9.85,broken clouds
311,Oussouye,SN,12.485,-16.5469,27.1,66,7,4.63,clear sky
312,Charters Towers,AU,-20.1,146.2667,20.89,91,70,2.37,broken clouds
313,Cap Malheureux,MU,-19.9842,57.6142,24.15,89,100,4.47,moderate rain
314,Hualmay,PE,-11.0964,-77.6139,23.17,74,57,4.8,broken clouds
315,Doha,QA,25.2867,51.5333,26.99,15,0,4.12,clear sky
316,Bay Roberts,CA,47.5999,-53.2648,5.02,72,100,1.34,light rain
317,Sierra Vista,US,31.5545,-110.3037,24.34,12,0,6.17,clear sky
318,Khilok,RU,51.3674,110.4676,-6.09,89,67,1.54,broken clouds
319,Naze,JP,28.3667,129.4833,15.51,66,100,6.73,overcast clouds
320,Ozernovskiy,RU,51.5,156.5167,-2.53,68,100,9.78,light snow
321,Hami,CN,42.8,93.45,10.05,21,7,1.52,clear sky
322,Bereda,ES,43.2686,-7.5406,1.75,85,11,1.14,few clouds
323,Port Lincoln,AU,-34.7333,135.8667,16.2,75,4,7.1,clear sky
324,Menongue,AO,-14.6585,17.691,18.15,94,99,2.16,light rain
325,Rantepao,ID,-2.9701,119.8978,18.74,96,100,1.29,overcast clouds
326,Aksha,RU,50.2814,113.2867,-2.1,79,100,1.77,overcast clouds
327,Lamar,US,33.6668,-95.5836,20.55,36,0,5.14,clear sky
328,Bac Lieu,VN,9.285,105.7244,27.37,77,99,3.67,overcast clouds
329,Kununurra,AU,-15.7667,128.7333,20.99,94,98,0.51,overcast clouds
330,Cotacachi,EC,0.3,-78.2667,18.75,78,97,1.71,moderate rain
331,Simpang,ID,-1.2667,104.0833,23.82,86,100,0.65,overcast clouds
332,Marfino,RU,55.7028,37.3822,1.14,64,75,6.0,broken clouds
333,Les Ponts-De-Ce,FR,47.4231,-0.5248,3.4,77,100,7.7,overcast clouds
334,Vytegra,RU,61.0064,36.4481,-9.99,97,48,1.58,scattered clouds
335,Bandarbeyla,SO,9.4942,50.8122,26.59,76,6,4.19,clear sky
336,Kanniyakumari,IN,8.0833,77.5667,27.65,79,12,4.65,few clouds
337,Xuanhua,CN,40.6103,115.0447,3.53,55,4,3.15,clear sky
338,Avera,US,33.194,-82.5271,22.53,30,25,5.82,scattered clouds
339,Torbay,CA,47.6666,-52.7314,4.6,88,100,5.66,light intensity shower rain
340,Pevek,RU,69.7008,170.3133,-25.04,98,100,2.76,overcast clouds
341,Norman Wells,CA,65.282,-126.8329,-24.98,58,0,2.57,clear sky
342,Vostok,RU,46.4856,135.8833,-12.78,92,9,2.66,clear sky
